name,nachname,email,alter,contract_type,abschlag,durchschnittVerbrauch,basisBetrag,,kWhPreis
Andreas,Lenz,christine.klein@domain.com,82,GAS,55.37,3389.98,8.7,0.25
Peter,Klein,schneider.krüger@example.com,31,GAS,147.16,2147.95,9.22,0.28
Peter,Klein,schneider.krüger@example.com,31,GAS,35.12,3026.81,31.24,0.24
Schulz,Lisa,schneider.laura@example.com,38,STROM,24.9,4472.38,14.2,0.3
Schneider,Julia,andreas.böhm@example.com,50,GAS,33.08,4712.35,41.74,0.31
Schneider,Julia,andreas.böhm@example.com,50,GAS,63.75,1054.95,37.39,0.48
Schneider,Julia,andreas.böhm@example.com,50,STROM,114.13,1380.5,20.46,0.45
Klaus,Emma,sarah.hartmann@example.com,35,GAS,77.21,3212.4,24.98,0.32
Klaus,Emma,sarah.hartmann@example.com,35,GAS,127.38,3875.2,33.16,0.37
Klaus,Emma,sarah.hartmann@example.com,35,GAS,82.48,3368.48,22.98,0.3
Schmidt,Lena,fischer.zimmermann@domain.com,34,GAS,163.82,3979.89,25.13,0.36
Schmidt,Lena,fischer.zimmermann@domain.com,34,GAS,134.0,4622.21,13.14,0.48
Fischer,Hartmann,andreas.klein@test.com,67,STROM,172.52,2782.78,35.75,0.24
Fischer,Hartmann,andreas.klein@test.com,67,GAS,60.29,2106.2,25.55,0.21
Daniel,Lea,,64,GAS,64.18,3713.07,31.31,0.38
Daniel,Lea,,64,GAS,166.04,2795.7,27.51,0.25
Wolfgang,Lena,weber.klein@test.com,37,GAS,190.68,3284.63,9.57,0.42
Wolfgang,Lena,weber.klein@test.com,37,GAS,86.78,1264.83,45.92,0.26
Wolfgang,Lena,weber.klein@test.com,37,STROM,88.82,1536.49,8.3,0.26
Hoffmann,Zimmermann,fischer.anna@domain.com,69,STROM,53.2,2737.65,7.45,0.33
Hoffmann,Zimmermann,fischer.anna@domain.com,69,STROM,139.9,2470.25,5.48,0.5
Hoffmann,Zimmermann,fischer.anna@domain.com,69,GAS,45.17,3500.62,48.48,0.31
Sarah,Lena,wagner.lisa@domain.com,49,STROM,121.18,2983.51,10.2,0.25
Sarah,Lena,wagner.lisa@domain.com,49,GAS,152.38,3982.81,20.11,0.45
Michael,Mia,schneider.klein@test.com,58,STROM,178.73,3594.95,19.02,0.33
Michael,Mia,schneider.klein@test.com,58,STROM,54.37,4610.2,24.79,0.4
Michael,Mia,schneider.klein@test.com,58,GAS,99.92,3708.42,17.85,0.21
Klaus,Anna,thomas.krüger@domain.com,48,STROM,90.83,1135.84,39.38,0.48
Klaus,Anna,thomas.krüger@domain.com,48,GAS,48.76,2619.24,15.62,0.48
Klaus,Anna,thomas.krüger@domain.com,48,GAS,152.47,3934.87,49.35,0.31
Schmidt,Anna,wagner.walter@test.com,67,GAS,174.58,3621.91,27.34,0.23
Meyer,Krüger,wolfgang.anna@example.com,38,STROM,74.59,3057.0,46.02,0.21
Meyer,Krüger,wolfgang.anna@example.com,38,GAS,86.07,2652.63,36.53,0.22
Meyer,Krüger,wolfgang.anna@example.com,38,GAS,199.21,2156.73,49.72,0.44
Daniel,Lisa,becker.marie@test.com,50,GAS,51.28,2585.23,32.16,0.33
Daniel,Lea,christine.lea@test.com,46,GAS,91.97,1979.6,24.08,0.38
Daniel,Lea,christine.lea@test.com,46,STROM,99.55,1183.28,22.67,0.38
Schmidt,Klein,sarah.walter@test.com,20,STROM,163.43,1824.7,15.69,0.34
Schmidt,Klein,sarah.walter@test.com,20,GAS,180.05,4464.87,39.87,0.22
Schmidt,Klein,sarah.walter@test.com,20,GAS,32.39,4508.14,15.0,0.5
Wolfgang,Julia,daniel.krüger@domain.com,74,GAS,151.15,1116.84,41.89,0.26
Katharina,Krüger,,48,GAS,144.39,2245.82,39.34,0.47
Katharina,Krüger,,48,GAS,121.18,4872.65,44.76,0.28
Hoffmann,Krüger,thomas.lea@domain.com,69,STROM,137.49,2134.81,23.24,0.32
Hoffmann,Krüger,thomas.lea@domain.com,69,GAS,83.2,4246.09,22.07,0.2
Hoffmann,Krüger,thomas.lea@domain.com,69,STROM,110.8,3638.73,21.46,0.21
Schulz,Krüger,wagner.lenz@test.com,18,GAS,36.43,4893.32,47.83,0.24
Weber,Laura,peter.klein@domain.com,51,GAS,141.55,4217.44,29.03,0.37
Becker,Böhm,wagner.mia@domain.com,42,STROM,134.03,2165.07,37.56,0.4
Becker,Böhm,wagner.mia@domain.com,42,STROM,190.67,2231.39,32.23,0.27
Becker,Böhm,wagner.mia@domain.com,42,STROM,99.05,1780.6,31.11,0.45
Müller,Julia,wagner.lenz@domain.com,29,GAS,183.92,2841.16,14.77,0.46
Wagner,Klein,,77,GAS,152.77,1446.1,39.24,0.21
Wagner,Klein,,77,GAS,106.16,3112.75,5.09,0.3
Wagner,Klein,,77,GAS,117.51,3762.52,5.39,0.28
Christine,Lisa,klaus.böhm@example.com,84,STROM,127.33,2256.95,6.04,0.47
Christine,Lisa,klaus.böhm@example.com,84,GAS,143.63,3495.08,33.63,0.3
Schneider,Lisa,katharina.mia@example.com,57,GAS,82.44,4035.25,37.95,0.33
Schneider,Lisa,katharina.mia@example.com,57,GAS,78.65,4428.42,18.98,0.29
Schneider,Lisa,katharina.mia@example.com,57,GAS,163.72,3659.39,18.98,0.48
Thomas,Zimmermann,andreas.maier@test.com,58,GAS,155.9,3662.16,30.75,0.38
Thomas,Zimmermann,andreas.maier@test.com,58,GAS,129.6,1924.4,44.74,0.4
Wolfgang,Emma,wolfgang.hartmann@example.com,24,GAS,157.95,3470.06,25.83,0.35
Wolfgang,Emma,wolfgang.hartmann@example.com,24,STROM,99.14,2895.7,37.13,0.31
Schneider,Walter,becker.mia@test.com,26,GAS,134.69,4239.26,27.72,0.35
Schneider,Walter,becker.mia@test.com,26,STROM,88.37,4524.91,43.73,0.21
Hoffmann,Mia,wolfgang.lea@domain.com,81,STROM,73.8,1748.27,10.86,0.26
Hoffmann,Mia,wolfgang.lea@domain.com,81,STROM,188.52,4182.34,44.63,0.23
Hoffmann,Mia,wolfgang.lea@domain.com,81,GAS,180.23,2416.34,6.26,0.38
Klaus,Maier,schneider.emma@example.com,81,GAS,115.25,2091.98,38.84,0.4
Andreas,Maier,becker.lenz@test.com,60,STROM,111.02,4264.28,20.58,0.31
Katharina,Lena,wolfgang.marie@example.com,65,GAS,70.68,3752.86,17.8,0.21
Katharina,Lena,wolfgang.marie@example.com,65,GAS,93.09,4226.87,36.48,0.24
Sarah,Julia,christine.lea@test.com,44,GAS,118.34,2970.47,36.72,0.38
Sarah,Julia,christine.lea@test.com,44,STROM,116.6,3527.26,30.76,0.45
Klaus,Emma,christine.lea@test.com,38,GAS,82.53,4177.1,48.96,0.41
Klaus,Emma,christine.lea@test.com,38,STROM,141.06,4555.91,15.62,0.45
Thomas,Laura,thomas.hartmann@domain.com,48,GAS,34.22,3430.24,28.48,0.27
Andreas,Lisa,klaus.krüger@domain.com,52,GAS,160.83,1915.61,33.89,0.25
Daniel,Klein,klaus.krüger@domain.com,80,GAS,68.88,3314.67,44.11,0.48
Schneider,Böhm,sarah.emma@domain.com,52,STROM,49.05,1024.56,48.47,0.29
Schneider,Böhm,sarah.emma@domain.com,52,GAS,20.53,2562.36,48.75,0.22
Müller,Klein,michael.lea@example.com,18,GAS,69.85,2263.57,25.68,0.4
Müller,Klein,michael.lea@example.com,18,STROM,172.78,2916.66,46.44,0.3
Müller,Klein,michael.lea@example.com,18,STROM,110.73,2157.6,13.93,0.47
Müller,Hartmann,peter.julia@domain.com,73,STROM,128.17,2661.53,30.63,0.48
Müller,Hartmann,peter.julia@domain.com,73,GAS,111.66,4535.74,19.95,0.25
Peter,Hartmann,christine.zimmermann@domain.com,47,GAS,54.31,1178.52,37.41,0.42
Peter,Hartmann,christine.zimmermann@domain.com,47,GAS,43.62,1496.41,17.29,0.48
Katharina,Lena,schneider.lisa@domain.com,82,GAS,39.6,2809.39,32.6,0.41
Katharina,Lena,schneider.lisa@domain.com,82,STROM,64.09,3255.55,24.47,0.22
Katharina,Lena,schneider.lisa@domain.com,82,GAS,92.26,4280.14,22.07,0.35
Becker,Klein,andreas.anna@example.com,85,STROM,195.03,1862.36,27.98,0.43
Becker,Klein,andreas.anna@example.com,85,STROM,34.16,4995.13,10.53,0.41
Müller,Lea,wolfgang.emma@test.com,24,GAS,31.86,4285.73,24.62,0.35
Müller,Lea,wolfgang.emma@test.com,24,GAS,154.19,1878.69,49.22,0.46
Wagner,Neumann,schneider.sophie@domain.com,78,GAS,157.84,1591.58,37.05,0.2
Sarah,Hartmann,peter.lisa@example.com,30,GAS,108.43,2395.32,26.53,0.32
Schmidt,Walter,klaus.böhm@test.com,72,STROM,141.23,4684.62,28.06,0.32
Müller,Neumann,sarah.lena@test.com,73,STROM,38.83,3318.84,8.84,0.22
Müller,Neumann,sarah.lena@test.com,73,GAS,199.05,1818.38,44.15,0.39
Thomas,Lena,,28,GAS,120.48,3174.78,17.94,0.28
Thomas,Lena,,28,GAS,149.48,2643.51,31.59,0.39
Thomas,Lena,,28,GAS,52.41,2838.89,19.83,0.33
Weber,Laura,christine.maier@example.com,86,GAS,29.91,1362.79,30.26,0.44
Weber,Laura,christine.maier@example.com,86,GAS,72.6,4432.83,42.83,0.29
Weber,Laura,christine.maier@example.com,86,STROM,35.42,1315.37,12.5,0.46
Klaus,Anna,,55,GAS,32.34,1838.24,31.27,0.33
Peter,Lea,schmidt.walter@domain.com,88,STROM,162.77,1292.39,14.8,0.5
Peter,Lea,schmidt.walter@domain.com,88,GAS,97.21,4639.92,28.06,0.28
Peter,Lea,schmidt.walter@domain.com,88,STROM,135.19,4372.56,33.06,0.32
Katharina,Emma,klaus.lisa@example.com,80,GAS,39.68,1269.39,13.53,0.45
Katharina,Emma,klaus.lisa@example.com,80,STROM,100.08,2899.04,23.1,0.42
Katharina,Emma,klaus.lisa@example.com,80,STROM,47.96,1317.39,24.55,0.35
Daniel,Böhm,thomas.anna@test.com,68,GAS,100.81,2654.56,36.58,0.23
Daniel,Böhm,thomas.anna@test.com,68,STROM,87.3,2062.86,23.68,0.38
Daniel,Böhm,thomas.anna@test.com,68,GAS,147.87,3827.67,30.04,0.41
Schmidt,Lisa,sarah.mia@domain.com,67,STROM,170.19,3161.64,5.57,0.45
Meyer,Klein,weber.lena@domain.com,18,STROM,174.68,3938.42,35.78,0.2
Fischer,Neumann,hoffmann.julia@domain.com,22,GAS,165.96,1203.64,27.58,0.32
Fischer,Neumann,hoffmann.julia@domain.com,22,STROM,74.03,4662.36,34.77,0.44
Fischer,Neumann,hoffmann.julia@domain.com,22,STROM,91.52,2777.42,26.22,0.22
Daniel,Böhm,wagner.schröder@domain.com,75,STROM,159.27,1878.5,10.28,0.21
Daniel,Böhm,wagner.schröder@domain.com,75,STROM,157.18,4470.21,40.11,0.26
Daniel,Böhm,wagner.schröder@domain.com,75,GAS,79.33,3807.98,16.59,0.43
Wolfgang,Lisa,meyer.laura@domain.com,25,GAS,138.86,4956.55,49.51,0.41
Christine,Mia,wolfgang.lenz@example.com,38,STROM,27.18,4774.19,31.94,0.43
Schmidt,Hartmann,wagner.hartmann@domain.com,18,STROM,87.91,3876.29,24.65,0.3
Schmidt,Hartmann,wagner.hartmann@domain.com,18,STROM,79.17,4557.35,11.68,0.23
Michael,Klein,fischer.lea@example.com,41,STROM,30.59,3142.83,22.46,0.32
Michael,Klein,fischer.lea@example.com,41,STROM,130.1,4432.27,16.92,0.33
Wagner,Neumann,fischer.schröder@test.com,82,STROM,120.24,3383.84,41.98,0.21
Michael,Emma,daniel.laura@example.com,90,GAS,47.16,3252.3,11.23,0.48
Michael,Emma,daniel.laura@example.com,90,STROM,73.42,1103.3,36.95,0.45
Michael,Emma,daniel.laura@example.com,90,GAS,111.58,2070.84,19.12,0.25
Sarah,Lena,,28,GAS,195.75,3812.66,21.52,0.24
Sarah,Lena,,28,GAS,51.5,3469.59,41.2,0.33
Sarah,Lena,,28,STROM,121.21,4010.72,31.18,0.45
Andreas,Krüger,christine.anna@test.com,47,GAS,152.3,1164.45,5.13,0.44
Andreas,Krüger,christine.anna@test.com,47,STROM,36.3,2749.71,32.01,0.24
Andreas,Krüger,christine.anna@test.com,47,GAS,35.49,3077.3,45.68,0.41
Sarah,Mia,wagner.böhm@domain.com,59,GAS,131.16,4732.98,42.41,0.31
Sarah,Mia,wagner.böhm@domain.com,59,GAS,175.39,2675.92,22.03,0.42
Sarah,Mia,wagner.böhm@domain.com,59,GAS,71.05,2471.79,46.56,0.45
Andreas,Neumann,daniel.walter@domain.com,61,STROM,184.51,1331.03,40.73,0.49
Andreas,Neumann,daniel.walter@domain.com,61,GAS,67.47,1376.53,12.76,0.41
Klaus,Sophie,andreas.schröder@domain.com,26,STROM,190.04,4996.52,37.02,0.26
Klaus,Sophie,andreas.schröder@domain.com,26,STROM,25.46,3063.02,8.99,0.34
Meyer,Walter,klaus.böhm@domain.com,32,GAS,174.32,4694.29,30.67,0.43
Sarah,Krüger,christine.marie@example.com,33,STROM,79.39,1680.52,38.21,0.29
Sarah,Krüger,christine.marie@example.com,33,GAS,29.97,2330.64,9.26,0.45
Sarah,Krüger,christine.marie@example.com,33,GAS,93.42,2732.91,46.49,0.31
Schneider,Schröder,schmidt.zimmermann@test.com,36,STROM,63.48,2592.28,28.28,0.38
Schneider,Schröder,schmidt.zimmermann@test.com,36,GAS,152.91,2955.06,43.47,0.3
Peter,Böhm,weber.schröder@example.com,64,GAS,80.15,3099.7,37.58,0.35
Schmidt,Böhm,schneider.sophie@example.com,43,GAS,103.58,4802.37,34.6,0.25
Meyer,Walter,schulz.lea@domain.com,85,GAS,93.67,1997.33,34.15,0.42
Wagner,Anna,fischer.lisa@example.com,83,GAS,136.4,1234.95,6.79,0.4
Wagner,Anna,fischer.lisa@example.com,83,GAS,139.29,2975.27,14.64,0.24
Fischer,Lenz,andreas.julia@example.com,60,STROM,59.94,1458.43,25.19,0.34
Fischer,Lenz,andreas.julia@example.com,60,STROM,173.0,3169.76,24.46,0.31
Andreas,Anna,wagner.klein@example.com,53,GAS,164.27,2850.54,21.59,0.3
Andreas,Anna,wagner.klein@example.com,53,STROM,75.22,3277.26,34.68,0.47
Peter,Lisa,christine.lena@example.com,63,GAS,21.3,2047.11,38.68,0.23
Peter,Lisa,christine.lena@example.com,63,STROM,108.94,4219.99,22.18,0.38
Peter,Lisa,christine.lena@example.com,63,GAS,138.07,3034.97,42.64,0.35
Peter,Krüger,weber.mia@domain.com,53,GAS,161.22,1810.53,16.68,0.34
Peter,Krüger,weber.mia@domain.com,53,STROM,45.27,1765.1,22.14,0.44
Peter,Krüger,weber.mia@domain.com,53,GAS,150.22,4553.73,31.13,0.22
Schneider,Lisa,meyer.laura@test.com,21,GAS,77.62,4928.59,11.66,0.2
Schneider,Lisa,meyer.laura@test.com,21,GAS,189.62,2239.42,38.75,0.35
Schneider,Lisa,meyer.laura@test.com,21,STROM,95.07,2125.67,9.27,0.42
Sarah,Julia,andreas.lisa@test.com,70,STROM,160.89,1089.34,39.29,0.28
Sarah,Julia,andreas.lisa@test.com,70,GAS,84.81,2048.28,12.13,0.28
Wolfgang,Böhm,meyer.lenz@domain.com,31,STROM,145.4,4194.0,25.39,0.34
Wolfgang,Böhm,meyer.lenz@domain.com,31,STROM,129.5,2754.85,49.63,0.47
Meyer,Lenz,wolfgang.julia@domain.com,79,STROM,63.79,3705.87,30.58,0.46
Meyer,Lenz,wolfgang.julia@domain.com,79,STROM,136.47,1897.41,38.51,0.32
Meyer,Lenz,wolfgang.julia@domain.com,79,GAS,112.02,3140.33,38.56,0.26
Müller,Hartmann,peter.julia@example.com,48,GAS,173.54,3521.62,30.81,0.35
Müller,Hartmann,peter.julia@example.com,48,STROM,70.49,1877.96,10.2,0.37
Daniel,Krüger,wolfgang.hartmann@domain.com,46,GAS,128.33,3061.62,18.39,0.36
Becker,Lea,schmidt.schröder@example.com,65,GAS,79.69,1759.59,14.52,0.39
Becker,Lea,schmidt.schröder@example.com,65,STROM,60.11,2954.61,40.29,0.22
Peter,Lena,sarah.laura@domain.com,27,GAS,124.86,1641.37,46.54,0.24
Peter,Lena,sarah.laura@domain.com,27,STROM,161.3,1743.56,20.48,0.49
Wolfgang,Sophie,sarah.anna@domain.com,66,STROM,145.53,2286.87,17.73,0.44
Wolfgang,Sophie,sarah.anna@domain.com,66,STROM,56.36,3934.63,39.59,0.32
Thomas,Lea,schneider.hartmann@domain.com,26,STROM,189.71,4518.28,43.52,0.39
Hoffmann,Böhm,thomas.zimmermann@domain.com,27,GAS,44.15,2256.36,20.85,0.42
Hoffmann,Böhm,thomas.zimmermann@domain.com,27,STROM,132.75,4347.57,41.37,0.31
Hoffmann,Böhm,thomas.zimmermann@domain.com,27,STROM,158.71,4877.85,35.12,0.42
Peter,Emma,hoffmann.lenz@example.com,45,STROM,197.23,4772.78,20.38,0.45
Peter,Emma,hoffmann.lenz@example.com,45,STROM,175.8,4578.82,11.05,0.23
Peter,Emma,hoffmann.lenz@example.com,45,GAS,25.07,3766.35,21.18,0.27
Katharina,Sophie,schmidt.lenz@test.com,19,STROM,37.41,2735.79,29.8,0.28
Fischer,Walter,schulz.laura@test.com,19,STROM,53.28,4032.73,39.76,0.42
Fischer,Walter,schulz.laura@test.com,19,STROM,35.19,1495.08,14.33,0.49
Fischer,Walter,schulz.laura@test.com,19,GAS,27.97,4241.81,9.12,0.3
Christine,Mia,thomas.laura@example.com,52,GAS,46.45,2050.87,30.42,0.28
Christine,Mia,thomas.laura@example.com,52,STROM,70.89,3376.51,13.3,0.22
Christine,Mia,thomas.laura@example.com,52,GAS,165.72,4440.45,17.65,0.45
Meyer,Sophie,,54,GAS,77.7,1971.71,33.87,0.48
Meyer,Sophie,,54,STROM,124.92,2214.03,39.53,0.48
Meyer,Julia,andreas.mia@domain.com,85,STROM,132.76,3318.96,29.02,0.46
Meyer,Julia,andreas.mia@domain.com,85,GAS,101.06,2512.17,18.32,0.25
Meyer,Julia,andreas.mia@domain.com,85,GAS,67.62,3891.49,41.95,0.23
Becker,Julia,müller.walter@domain.com,34,STROM,48.51,4369.99,37.12,0.44
Becker,Julia,müller.walter@domain.com,34,GAS,98.21,3096.06,30.91,0.33
Wolfgang,Sophie,müller.krüger@test.com,89,GAS,42.27,4698.32,37.69,0.33
Wolfgang,Sophie,müller.krüger@test.com,89,GAS,104.17,4250.95,45.29,0.45
Wolfgang,Sophie,müller.krüger@test.com,89,STROM,148.44,2578.29,43.6,0.2
Sarah,Sophie,michael.neumann@domain.com,18,GAS,20.83,1491.81,40.91,0.3
Sarah,Sophie,michael.neumann@domain.com,18,GAS,101.67,1779.64,36.22,0.37
Sarah,Sophie,michael.neumann@domain.com,18,STROM,75.28,2645.25,43.82,0.49
Peter,Neumann,wagner.mia@example.com,44,STROM,90.9,4600.92,30.31,0.31
Peter,Neumann,wagner.mia@example.com,44,STROM,130.2,3690.31,6.54,0.45
Sarah,Walter,,25,GAS,177.98,1026.35,32.94,0.28
Sarah,Walter,,25,STROM,163.34,1330.12,42.15,0.5
Sarah,Walter,,25,STROM,49.8,3728.46,44.85,0.41
Klaus,Emma,andreas.böhm@domain.com,71,GAS,91.6,3972.02,45.28,0.33
Klaus,Emma,andreas.böhm@domain.com,71,STROM,111.05,2193.99,29.25,0.26
Becker,Lenz,andreas.walter@example.com,81,GAS,63.31,4251.84,27.75,0.22
Becker,Lenz,andreas.walter@example.com,81,STROM,28.35,4300.98,10.71,0.24
Becker,Lenz,andreas.walter@example.com,81,GAS,113.3,4742.89,39.49,0.49
Hoffmann,Julia,schneider.schröder@example.com,33,GAS,124.66,2198.43,35.17,0.35
Hoffmann,Julia,schneider.schröder@example.com,33,GAS,59.82,1165.44,16.33,0.49
Hoffmann,Julia,schneider.schröder@example.com,33,GAS,83.47,2632.86,34.23,0.26
Thomas,Lea,schneider.klein@example.com,25,STROM,61.95,2411.38,13.52,0.27
Thomas,Lea,schneider.klein@example.com,25,STROM,169.46,1747.57,45.65,0.35
Thomas,Lea,schneider.klein@example.com,25,GAS,84.26,1639.11,40.57,0.49
Schneider,Lenz,thomas.schröder@example.com,73,STROM,138.23,3020.45,41.13,0.22
Schneider,Lenz,thomas.schröder@example.com,73,GAS,29.98,1855.43,37.78,0.39
Wagner,Neumann,wagner.zimmermann@test.com,58,GAS,42.67,3574.85,25.72,0.25
Wagner,Neumann,wagner.zimmermann@test.com,58,GAS,98.96,2001.43,5.59,0.48
Wagner,Neumann,wagner.zimmermann@test.com,58,GAS,45.39,2608.21,10.78,0.25
Weber,Lisa,wagner.emma@test.com,81,STROM,45.73,1161.2,38.26,0.37
Daniel,Anna,schneider.mia@domain.com,46,STROM,146.1,1448.11,37.12,0.31
Daniel,Anna,schneider.mia@domain.com,46,GAS,24.96,2111.34,35.7,0.27
Daniel,Anna,schneider.mia@domain.com,46,GAS,121.29,3298.41,45.13,0.25
Meyer,Neumann,wolfgang.klein@test.com,21,GAS,142.86,3376.16,47.52,0.4
Meyer,Neumann,wolfgang.klein@test.com,21,STROM,34.4,1742.14,18.1,0.3
Wolfgang,Neumann,klaus.walter@example.com,52,STROM,150.59,1153.84,7.91,0.21
Wolfgang,Neumann,klaus.walter@example.com,52,STROM,119.15,4081.08,10.08,0.4
Meyer,Anna,michael.neumann@example.com,37,GAS,190.1,2778.89,16.46,0.3
Meyer,Anna,michael.neumann@example.com,37,STROM,175.66,1969.68,33.83,0.3
Meyer,Anna,michael.neumann@example.com,37,GAS,124.14,3367.51,41.36,0.27
Schneider,Zimmermann,,22,STROM,97.23,3016.62,26.35,0.43
Schneider,Zimmermann,,22,GAS,59.93,3319.83,6.5,0.24
Katharina,Lea,müller.lenz@example.com,48,STROM,146.49,3811.87,7.07,0.32
Katharina,Lea,müller.lenz@example.com,48,STROM,104.71,3498.66,22.15,0.32
Katharina,Lea,müller.lenz@example.com,48,STROM,58.7,2948.49,30.05,0.26
Klaus,Zimmermann,katharina.krüger@example.com,23,STROM,191.32,3920.71,40.03,0.41
Klaus,Zimmermann,katharina.krüger@example.com,23,STROM,23.37,4519.24,15.49,0.29
Daniel,Mia,katharina.laura@domain.com,37,GAS,135.31,3323.83,42.45,0.47
Daniel,Mia,katharina.laura@domain.com,37,STROM,142.23,4534.95,38.85,0.4
Schulz,Lea,peter.lenz@example.com,30,STROM,86.39,1270.48,31.1,0.4
Schulz,Lea,peter.lenz@example.com,30,GAS,51.83,3519.89,30.94,0.35
Peter,Neumann,wolfgang.laura@domain.com,73,GAS,44.32,1467.33,26.7,0.22
Klaus,Lenz,,23,GAS,143.59,4393.18,46.22,0.35
Müller,Sophie,müller.neumann@example.com,45,GAS,78.22,4402.97,11.96,0.43
Müller,Sophie,müller.neumann@example.com,45,GAS,27.69,2235.46,21.89,0.39
Müller,Sophie,müller.neumann@example.com,45,GAS,60.98,1522.64,26.41,0.36
Wagner,Laura,schulz.lea@example.com,88,GAS,166.52,4500.14,49.79,0.25
Becker,Krüger,thomas.maier@domain.com,30,STROM,168.13,3896.0,32.64,0.39
Becker,Krüger,thomas.maier@domain.com,30,GAS,91.85,3093.48,24.65,0.45
Daniel,Marie,michael.sophie@example.com,63,STROM,166.94,2170.91,7.74,0.48
Thomas,Lena,andreas.mia@example.com,85,STROM,149.57,1139.57,27.76,0.47
Thomas,Lena,andreas.mia@example.com,85,STROM,148.51,4336.2,33.62,0.4
Thomas,Lena,andreas.mia@example.com,85,GAS,151.47,4786.97,5.52,0.27
Klaus,Zimmermann,schneider.julia@domain.com,83,GAS,191.17,1477.92,34.42,0.37
Klaus,Zimmermann,schneider.julia@domain.com,83,GAS,73.81,2844.24,42.39,0.34
Wagner,Walter,hoffmann.lenz@test.com,57,GAS,159.64,4950.87,34.24,0.22
Hoffmann,Lena,klaus.lenz@test.com,52,STROM,147.37,3480.87,33.08,0.42
Peter,Hartmann,schneider.böhm@domain.com,82,GAS,170.14,3182.09,17.95,0.41
Peter,Hartmann,schneider.böhm@domain.com,82,STROM,31.71,4312.37,24.66,0.49
Schmidt,Böhm,müller.lea@example.com,67,STROM,30.86,1797.72,48.87,0.41
Katharina,Zimmermann,sarah.mia@test.com,65,GAS,168.62,1341.82,32.06,0.42
